event,event_date,fighter_1,fighter_2,result,method,round,time
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Tafon Nchukwi,Jamie Pickett,win,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Jimmy Flick,Cody Durden,win,"SUB

      

        Triangle Choke",1,3:18
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Christos Giagos,Carlton Minus,win,U-DEC,3,5:00
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Deiveson Figueiredo,Brandon Moreno,"draw


draw",M-DEC,5,5:00
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Charles Oliveira,Tony Ferguson,win,U-DEC,3,5:00
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Mackenzie Dern,Virna Jandiroba,win,U-DEC,3,5:00
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Kevin Holland,Jacare Souza,win,"KO/TKO

      

        Punch",1,1:45
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Ciryl Gane,Junior Dos Santos,win,"KO/TKO

      

        Elbow",2,2:34
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Cub Swanson,Daniel Pineda,win,"KO/TKO

      

        Punch",2,1:52
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Rafael Fiziev,Renato Moicano,win,"KO/TKO

      

        Punch",1,4:05
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Gavin Tucker,Billy Quarantillo,win,U-DEC,3,5:00
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Tecia Pennington,Sam Hughes,win,KO/TKO,1,5:00
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Chase Hooper,Peter Barrett,win,"SUB

      

        Heel Hook",3,3:02
UFC Fight Night: Hermansson vs. Vettori,"December 05, 2020",Marvin Vettori,Jack Hermansson,win,U-DEC,5,5:00
UFC Fight Night: Hermansson vs. Vettori,"December 05, 2020",Jamahal Hill,Ovince Saint Preux,win,"KO/TKO

      

        Punches",2,3:37
UFC Fight Night: Hermansson vs. Vettori,"December 05, 2020",Gabriel Benitez,Justin Jaynes,win,"KO/TKO

      

        Knee",1,4:06
UFC Fight Night: Hermansson vs. Vettori,"December 05, 2020",Roman Dolidze,John Allan,win,S-DEC,3,5:00
UFC Fight Night: Hermansson vs. Vettori,"December 05, 2020",Jordan Leavitt,Matt Wiman,win,"KO/TKO

      

        Slam",1,0:22
UFC Fight Night: Hermansson vs. Vettori,"December 05, 2020",Louis Smolka,Jose Quinonez,win,"KO/TKO

      

        Punches",2,2:15
UFC Fight Night: Hermansson vs. Vettori,"December 05, 2020",Ilia Topuria,Damon Jackson,win,"KO/TKO

      

        Punch",1,2:38
UFC Fight Night: Hermansson vs. Vettori,"December 05, 2020",Jake Collier,Gian Villante,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Anthony Smith,Devin Clark,win,"SUB

      

        Triangle Choke",1,2:34
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Miguel Baeza,Takashi Sato,win,"SUB

      

        Arm Triangle",2,4:28
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Parker Porter,Josh Parisian,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Bill Algeo,Spike Carlyle,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Norma Dumont,Ashlee Evans-Smith,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Jonathan Pearce,Kai Kamaka,win,"KO/TKO

      

        Punches",2,4:28
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Anderson Dos Santos,Martin Day,win,"SUB

      

        Guillotine Choke",1,4:35
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Gina Mazany,Rachael Ostovich,win,"KO/TKO

      

        Kick",3,4:10
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Sumudaerji,Malcolm Gordon,win,"KO/TKO

      

        Punches",1,0:44
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Nate Maness,Luke Sanders,win,"SUB

      

        Rear Naked Choke",2,2:29
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Deiveson Figueiredo,Alex Perez,win,"SUB

      

        Guillotine Choke",1,1:57
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Valentina Shevchenko,Jennifer Maia,win,U-DEC,5,5:00
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Tim Means,Mike Perry,win,U-DEC,3,5:00
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Katlyn Cerminara,Cynthia Calvillo,win,U-DEC,3,5:00
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Paul Craig,Mauricio Rua,win,"KO/TKO

      

        Punches",2,3:36
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Brandon Moreno,Brandon Royval,win,"KO/TKO

      

        Punches",1,4:59
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Joaquin Buckley,Jordan Wright,win,"KO/TKO

      

        Punches",2,0:18
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Antonina Shevchenko,Ariane da Silva,win,"KO/TKO

      

        Punches",2,4:33
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Nicolas Dalby,Daniel Rodriguez,win,U-DEC,3,5:00
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Alan Jouban,Jared Gooden,win,U-DEC,3,5:00
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Kyle Daukaus,Dustin Stoltzfus,win,U-DEC,3,5:00
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Sasha Palatnikov,Louis Cosce,win,"KO/TKO

      

        Punches",3,2:47
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020",Rafael Dos Anjos,Paul Felder,win,S-DEC,5,5:00
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020",Khaos Williams,Abdul Razak Alhassan,win,"KO/TKO

      

        Punch",1,0:30
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020",Ashley Yoder,Miranda Granger,win,U-DEC,3,5:00
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020",Sean Strickland,Brendan Allen,win,"KO/TKO

      

        Punches",2,1:32
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020",Cory McKenna,Kay Hansen,win,U-DEC,3,5:00
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020",Kanako Murata,Randa Markos,win,U-DEC,3,5:00
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020",Tony Gravely,Geraldo de Freitas,win,S-DEC,3,5:00
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020",Alex Morono,Rhys McKee,win,U-DEC,3,5:00
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020",Don'Tale Mayes,Roque Martinez,win,U-DEC,3,5:00
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Glover Teixeira,Thiago Santos,win,"SUB

      

        Rear Naked Choke",3,1:49
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Andrei Arlovski,Tanner Boser,win,U-DEC,3,5:00
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Raoni Barcelos,Khalid Taha,win,U-DEC,3,5:00
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Giga Chikadze,Jamey Simmons,win,"KO/TKO

      

        Kick",1,3:51
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Yan Xiaonan,Claudia Gadelha,win,U-DEC,3,5:00
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Trevin Giles,Bevon Lewis,win,"KO/TKO

      

        Punches",3,1:26
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Alexandr Romanov,Marcos Rogerio de Lima,win,"SUB

      

        Forearm Choke",1,4:48
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Darren Elkins,Eduardo Garagorri,win,"SUB

      

        Rear Naked Choke",3,2:22
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Max Griffin,Ramiz Brahimaj,win,"KO/TKO

      

        Elbow",3,2:03
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Gustavo Lopez,Anthony Birchak,win,"SUB

      

        Rear Naked Choke",1,2:43
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Uriah Hall,Anderson Silva,win,"KO/TKO

      

        Punches",4,1:24
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Bryce Mitchell,Andre Fili,win,U-DEC,3,5:00
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Greg Hardy,Maurice Greene,win,"KO/TKO

      

        Punches",2,1:12
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Kevin Holland,Charlie Ontiveros,win,"SUB

      

        Injury",1,2:39
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Thiago Moises,King Green,win,U-DEC,3,5:00
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Alexander Hernandez,Chris Gruetzemacher,win,"KO/TKO

      

        Punches",1,1:46
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Adrian Yanez,Victor Rodriguez,win,"KO/TKO

      

        Kick",1,2:46
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Sean Strickland,Jack Marshman,win,U-DEC,3,5:00
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Jason Witt,Cole Williams,win,"SUB

      

        Arm Triangle",2,2:09
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Dustin Jacoby,Justin Ledet,win,"KO/TKO

      

        Punch",1,2:38
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Miles Johns,Kevin Natividad,win,"KO/TKO

      

        Punch",3,2:51
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Khabib Nurmagomedov,Justin Gaethje,win,"SUB

      

        Triangle Choke",2,1:34
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Robert Whittaker,Jared Cannonier,win,U-DEC,3,5:00
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Alexander Volkov,Walt Harris,win,"KO/TKO

      

        Kick",2,1:15
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Phil Hawes,Jacob Malkoun,win,"KO/TKO

      

        Punches",1,0:18
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Lauren Murphy,Liliya Shakirova,win,"SUB

      

        Rear Naked Choke",2,3:31
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Magomed Ankalaev,Ion Cutelaba,win,"KO/TKO

      

        Punch",1,4:19
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Tai Tuivasa,Stefan Struve,win,"KO/TKO

      

        Punches",1,4:59
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Casey Kenney,Nathaniel Wood,win,U-DEC,3,5:00
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Shavkat Rakhmonov,Alex Oliveira,win,"SUB

      

        Guillotine Choke",1,4:40
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Da Woon Jung,Sam Alvey,"draw


draw",S-DEC,3,5:00
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Miranda Maverick,Liana Jojua,win,KO/TKO,1,5:00
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Joel Alvarez,Alexander Yakovlev,win,"SUB

      

        Armbar",1,3:00
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",Brian Ortega,Chan Sung Jung,win,U-DEC,5,5:00
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",Jessica Andrade,Katlyn Cerminara,win,"KO/TKO

      

        Punch",1,4:55
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",Jimmy Crute,Modestas Bukauskas,win,"KO/TKO

      

        Punches",1,2:01
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",James Krause,Claudio Silva,win,U-DEC,3,5:00
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",Jonathan Martinez,Thomas Almeida,win,U-DEC,3,5:00
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",Guram Kutateladze,Mateusz Gamrot,win,S-DEC,3,5:00
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",Gillian Robertson,Poliana Botelho,win,U-DEC,3,5:00
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",JunYong Park,John Phillips,win,U-DEC,3,5:00
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",Fares Ziam,Jamie Mullarkey,win,U-DEC,3,5:00
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",Maxim Grishin,Gadzhimurad Antigulov,win,"KO/TKO

      

        Punches",2,4:58
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",Said Nurmagomedov,Mark Striegl,win,"KO/TKO

      

        Punches",1,0:51
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Cory Sandhagen,Marlon Moraes,win,"KO/TKO

      

        Kick",2,1:03
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Edson Barboza,Makwan Amirkhani,win,U-DEC,3,5:00
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Marcin Tybura,Ben Rothwell,win,U-DEC,3,5:00
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Dricus Du Plessis,Markus Perez,win,"KO/TKO

      

        Punch",1,3:22
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Tom Aspinall,Alan Baudot,win,"KO/TKO

      

        Punches",1,1:35
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Ilia Topuria,Youssef Zalal,win,U-DEC,3,5:00
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Tom Breese,KB Bhullar,win,"KO/TKO

      

        Punch",1,1:42
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Chris Daukaus,Rodrigo Nascimento,win,"KO/TKO

      

        Punches",1,0:45
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Joaquin Buckley,Impa Kasanganay,win,"KO/TKO

      

        Spinning Back Kick",2,2:03
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Tony Kelley,Ali AlQaisi,win,U-DEC,3,5:00
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Giga Chikadze,Omar Morales,win,U-DEC,3,5:00
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Tracy Cortez,Stephanie Egger,win,U-DEC,3,5:00
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Tagir Ulanbekov,Bruno Silva,win,U-DEC,3,5:00
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Holly Holm,Irene Aldana,win,U-DEC,5,5:00
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Carlos Felipe,Yorgan De Castro,win,U-DEC,3,5:00
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Germaine de Randamie,Julianna Pena,win,"SUB

      

        Guillotine Choke",3,3:25
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Kyler Phillips,Cameron Else,win,"KO/TKO

      

        Elbows",2,0:44
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Dusko Todorovic,Dequan Townsend,win,"KO/TKO

      

        Punches",2,3:15
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Carlos Condit,Court McGee,win,U-DEC,3,5:00
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Charles Jourdain,Josh Culibao,"draw


draw",S-DEC,3,5:00
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Nassourdine Imavov,Jordan Williams,win,U-DEC,3,5:00
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Loma Lookboonmee,Jinh Yu Frey,win,U-DEC,3,5:00
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Casey Kenney,Alatengheili,win,U-DEC,3,5:00
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Luigi Vendramini,Jessin Ayari,win,"KO/TKO

      

        Kick",1,1:12
UFC 253: Adesanya vs. Costa,"September 26, 2020",Israel Adesanya,Paulo Costa,win,"KO/TKO

      

        Punch",2,3:59
UFC 253: Adesanya vs. Costa,"September 26, 2020",Jan Blachowicz,Dominick Reyes,win,"KO/TKO

      

        Punch",2,4:36
UFC 253: Adesanya vs. Costa,"September 26, 2020",Brandon Royval,Kai Kara-France,win,"SUB

      

        Guillotine Choke",2,0:48
UFC 253: Adesanya vs. Costa,"September 26, 2020",Ketlen Vieira,Sijara Eubanks,win,U-DEC,3,5:00
UFC 253: Adesanya vs. Costa,"September 26, 2020",Hakeem Dawodu,Zubaira Tukhugov,win,S-DEC,3,5:00
UFC 253: Adesanya vs. Costa,"September 26, 2020",Brad Riddell,Alex Da Silva,win,U-DEC,3,5:00
UFC 253: Adesanya vs. Costa,"September 26, 2020",Jake Matthews,Diego Sanchez,win,U-DEC,3,5:00
UFC 253: Adesanya vs. Costa,"September 26, 2020",Ludovit Klein,Shane Young,win,"KO/TKO

      

        Kick",1,1:16
UFC 253: Adesanya vs. Costa,"September 26, 2020",William Knight,Aleksa Camur,win,U-DEC,3,5:00
UFC 253: Adesanya vs. Costa,"September 26, 2020",Juan Espino,Jeff Hughes,win,"SUB

      

        Scarf Hold",1,3:48
UFC 253: Adesanya vs. Costa,"September 26, 2020",Danilo Marques,Khadis Ibragimov,win,U-DEC,3,5:00
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Colby Covington,Tyron Woodley,win,KO/TKO,5,1:19
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Donald Cerrone,Niko Price,"nc


nc",Overturned,3,5:00
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Khamzat Chimaev,Gerald Meerschaert,win,"KO/TKO

      

        Punch",1,0:17
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Johnny Walker,Ryan Spann,win,"KO/TKO

      

        Punches",1,2:43
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Mackenzie Dern,Randa Markos,win,"SUB

      

        Armbar",1,3:44
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Kevin Holland,Darren Stewart,win,S-DEC,3,5:00
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",David Dvorak,Jordan Espinosa,win,U-DEC,3,5:00
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Damon Jackson,Mirsad Bektic,win,"SUB

      

        Guillotine Choke",3,1:21
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Mayra Bueno Silva,Mara Romero Borella,win,"SUB

      

        Armbar",1,2:29
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Jessica-Rose Clark,Sarah Alpar,win,"KO/TKO

      

        Knee",3,4:21
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Darrick Minner,TJ Laramie,win,"SUB

      

        Guillotine Choke",1,0:52
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Randy Costa,Journey Newson,win,"KO/TKO

      

        Kick",1,0:41
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Andre Ewell,Irwin Rivera,win,S-DEC,3,5:00
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Tyson Nam,Jerome Rivera,win,"KO/TKO

      

        Punches",2,0:34
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",Michelle Waterson-Gomez,Angela Hill,win,S-DEC,5,5:00
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",Ottman Azaitar,Khama Worthy,win,"KO/TKO

      

        Punches",1,1:33
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",Roxanne Modafferi,Andrea Lee,win,U-DEC,3,5:00
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",Ed Herman,Mike Rodriguez,win,"SUB

      

        Kimura",3,2:41
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",King Green,Alan Patrick,win,U-DEC,3,5:00
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",Billy Quarantillo,Kyle Nelson,win,"KO/TKO

      

        Punch",3,0:07
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",Sijara Eubanks,Julia Avila,win,U-DEC,3,5:00
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",Roosevelt Roberts,Kevin Croom,"nc


nc","Overturned

      

        Guillotine Choke",1,0:31
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",Alexandr Romanov,Roque Martinez,win,"SUB

      

        Arm Triangle",2,4:22
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",Jalin Turner,Brok Weaver,win,"SUB

      

        Rear Naked Choke",2,4:20
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",Bryan Barberena,Anthony Ivy,win,U-DEC,3,5:00
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",Sabina Mazo,Justine Kish,win,"SUB

      

        Rear Naked Choke",3,3:57
UFC Fight Night: Overeem vs. Sakai,"September 05, 2020",Alistair Overeem,Augusto Sakai,win,"KO/TKO

      

        Elbows",5,0:26
UFC Fight Night: Overeem vs. Sakai,"September 05, 2020",Ovince Saint Preux,Alonzo Menifield,win,"KO/TKO

      

        Punch",2,4:07
UFC Fight Night: Overeem vs. Sakai,"September 05, 2020",Michel Pereira,Zelim Imadaev,win,"SUB

      

        Rear Naked Choke",3,4:39
UFC Fight Night: Overeem vs. Sakai,"September 05, 2020",Andre Muniz,Bartosz Fabinski,win,"SUB

      

        Armbar",1,2:42
UFC Fight Night: Overeem vs. Sakai,"September 05, 2020",Brian Kelleher,Ray Rodriguez,win,"SUB

      

        Guillotine Choke",1,0:39
UFC Fight Night: Overeem vs. Sakai,"September 05, 2020",Viviane Araujo,Montana De La Rosa,win,U-DEC,3,5:00
UFC Fight Night: Overeem vs. Sakai,"September 05, 2020",Hunter Azure,Cole Smith,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Rakic,"August 29, 2020",Aleksandar Rakic,Anthony Smith,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Rakic,"August 29, 2020",Neil Magny,Robbie Lawler,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Rakic,"August 29, 2020",Alexa Grasso,Ji Yeon Kim,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Rakic,"August 29, 2020",Ricardo Lamas,Bill Algeo,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Rakic,"August 29, 2020",Impa Kasanganay,Maki Pitolo,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Rakic,"August 29, 2020",Zak Cummings,Alessio Di Chirico,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Rakic,"August 29, 2020",Alex Caceres,Austin Springer,win,"SUB

      

        Rear Naked Choke",1,3:38
UFC Fight Night: Smith vs. Rakic,"August 29, 2020",Sean Brady,Christian Aguilera,win,"SUB

      

        Guillotine Choke",2,1:47
UFC Fight Night: Smith vs. Rakic,"August 29, 2020",Polyana Viana,Emily Whitmire,win,"SUB

      

        Armbar",1,1:53
UFC Fight Night: Smith vs. Rakic,"August 29, 2020",Mallory Martin,Hannah Cifers,win,"SUB

      

        Rear Naked Choke",2,1:33
UFC Fight Night: Munhoz vs. Edgar,"August 22, 2020",Frankie Edgar,Pedro Munhoz,win,S-DEC,5,5:00
UFC Fight Night: Munhoz vs. Edgar,"August 22, 2020",Mike Rodriguez,Marcin Prachnio,win,"KO/TKO

      

        Elbow",1,2:17
UFC Fight Night: Munhoz vs. Edgar,"August 22, 2020",Joe Solecki,Austin Hubbard,win,"SUB

      

        Rear Naked Choke",1,3:51
UFC Fight Night: Munhoz vs. Edgar,"August 22, 2020",Shana Dobson,Mariya Agapova,win,"KO/TKO

      

        Punches",2,1:38
UFC Fight Night: Munhoz vs. Edgar,"August 22, 2020",Daniel Rodriguez,Dwight Grant,win,"KO/TKO

      

        Punches",1,2:24
UFC Fight Night: Munhoz vs. Edgar,"August 22, 2020",Amanda Lemos,Mizuki,win,U-DEC,3,5:00
UFC Fight Night: Munhoz vs. Edgar,"August 22, 2020",Jordan Wright,Ike Villanueva,win,KO/TKO,1,1:31
UFC Fight Night: Munhoz vs. Edgar,"August 22, 2020",Matthew Semelsberger,Carlton Minus,win,U-DEC,3,5:00
UFC Fight Night: Munhoz vs. Edgar,"August 22, 2020",Timur Valiev,Trevin Jones,"nc


nc","Overturned

      

        Punch",2,1:59
UFC 252: Miocic vs. Cormier 3,"August 15, 2020",Stipe Miocic,Daniel Cormier,win,U-DEC,5,5:00
UFC 252: Miocic vs. Cormier 3,"August 15, 2020",Marlon Vera,Sean O'Malley,win,"KO/TKO

      

        Elbows",1,4:40
UFC 252: Miocic vs. Cormier 3,"August 15, 2020",Jairzinho Rozenstruik,Junior Dos Santos,win,"KO/TKO

      

        Punch",2,3:47
UFC 252: Miocic vs. Cormier 3,"August 15, 2020",Daniel Pineda,Herbert Burns,win,"KO/TKO

      

        Elbows",2,4:37
UFC 252: Miocic vs. Cormier 3,"August 15, 2020",Merab Dvalishvili,John Dodson,win,U-DEC,3,5:00
